Model,TOPSIS Score,Rank
Decision Tree,0.9921631440757521,1
Logistic Regression,0.9895961194901407,2
Random Forest,0.7451181631218263,3
XGBoost,0.61951613267102,4
KNN,0.39824329985005585,5
